h_np (nm),h_extrude (nm),lambda0 (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
300,280,1550,0.947483780899849,8.24188527863441E12,0.9480762970029729
300,300,1550,0.9348645183041608,9.389315091529938E12,0.9366233413711811
300,319.99999999999994,1550,0.9075903396386602,1.220742901213278E13,0.9121110209850092
300,340,1550,0.8447790128545395,1.9227245778856566E13,0.8529115847901123
300,360,1550,0.4490533685266838,6.384784263831249E13,0.4828326702710295
300,379.99999999999994,1550,0.3301834184304271,6.099839976462869E13,0.4784636345987977
300,400,1550,0.9199270481885431,8.077413628530965E12,0.9273027821669816
350,19.999999999999996,1550,0.9454614993269712,2.857176034934629E13,0.9850131420993915
350,39.99999999999999,1550,0.9494943800969987,2.0084390203443832E13,0.978911026329507
350,60,1550,0.9547742027087701,1.6210412783844105E13,0.974468442298243
350,79.99999999999999,1550,0.9580367660160573,1.423655519655769E13,0.9701120941382334
350,100,1550,0.9586946026082194,1.3360052750928309E13,0.9649297841007449
350,120,1550,0.9553470373846435,1.3467876906478623E13,0.9575744180354296
350,140,1550,0.9436607226546911,1.5211036212336477E13,0.9440960191789937
350,159.99999999999997,1550,0.8987319740465657,2.289439643415868E13,0.9038474618176113
350,180,1550,0.5779398744834466,7.519948456351375E13,0.6446829994206699
350,200,1550,0.8118346668664669,3.039564274325375E13,0.8404201565075787
350,219.99999999999997,1550,0.9153789329501489,1.3954034851352973E13,0.9194138661818896
350,240,1550,0.9219826651276346,1.223649434867306E13,0.9229105945836096
350,259.99999999999994,1550,0.9055292340250749,1.3226379997966633E13,0.9097320123491798
350,280,1550,0.8679711752392687,1.605215938099061E13,0.882015569387151
350,300,1550,0.7890508866516291,2.211622420223446E13,0.8258337996471795
350,319.99999999999994,1550,0.5900436167723787,3.756351177687918E13,0.684466874238328
350,340,1550,0.15147766583868294,7.895322029732669E13,0.2953428615791279
350,360,1550,0.3019902246938437,5.368024337253826E13,0.4927224069403673
350,379.99999999999994,1550,0.7132689957812004,2.0186858273701414E13,0.7986360922763307
350,400,1550,0.8962949385056564,9.486113389425482E12,0.9003946430482889
400,19.999999999999996,1550,0.9225843283230785,3.267335558956256E13,0.9803957127326316
400,39.99999999999999,1550,0.9200045822150851,2.3284784905100152E13,0.9720584495783283
400,60,1550,0.9254539163127633,1.908378623699482E13,0.9656524733031226
400,79.99999999999999,1550,0.9312775567940268,1.7046096641660084E13,0.9590893742071881
400,100,1550,0.9346887339245362,1.6369594435851674E13,0.9508910739691598
400,120,1550,0.9318091380645901,1.716373410650472E13,0.9382104105677592
400,140,1550,0.9085551563916752,2.1514237241284137E13,0.9096403034078882
400,159.99999999999997,1550,0.7377051522932441,4.754195387448941E13,0.7718016657042303
400,180,1550,0.546914592056478,6.033473450529963E13,0.6741932203274332
400,200,1550,0.8593709868001655,1.9832373200245133E13,0.8810050822254994
400,219.99999999999997,1550,0.8876156097607585,1.6503938732915125E13,0.8910758932152383
400,240,1550,0.8659880419377417,1.7987579515387668E13,0.8704894671948683
400,259.99999999999994,1550,0.7954885026521482,2.2767420780407516E13,0.8224151999441437
400,280,1550,0.6423207985820765,3.197398008992626E13,0.7314210214552346
400,300,1550,0.3246942834996871,4.9881064398522445E13,0.551070697891483
400,319.99999999999994,1550,0.030156895380964905,7.050345051025445E13,0.3231683250763698
400,340,1550,0.31043927092926993,4.190467072811991E13,0.5725721369645538
400,360,1550,0.6024577568390425,2.1792518689691535E13,0.7646405872107045
400,379.99999999999994,1550,0.7688639479448837,1.3218801722753412E13,0.8493059646250005
400,400,1550,0.8444734160183074,1.2439133641381451E13,0.8507313291236274
450,19.999999999999996,1550,0.8913611068153703,3.6509734828965375E13,0.9753552535551321
450,39.99999999999999,1550,0.8728462125566472,2.620946686294209E13,0.9646167982734486
450,60,1550,0.8742328930525386,2.156444170684559E13,0.9563309142713526
450,79.99999999999999,1550,0.8822488812329108,1.9404642440313E13,0.9476065081637131
450,100,1550,0.890715292681709,1.8879644843718715E13,0.9362812844041197
450,120,1550,0.8942934970634258,2.0267176007263457E13,0.9179182175693634
450,140,1550,0.8662088299967124,2.74236683165052E13,0.8704259047287302
450,159.99999999999997,1550,0.4337295560402833,8.218559058684644E13,0.5561980275952642
450,180,1550,0.7011741905543994,3.2250696954899688E13,0.8040758068437759
450,200,1550,0.8326054520593581,2.13252126878219E13,0.8560589846478133
450,219.99999999999997,1550,0.8267602118736368,2.2709410717816668E13,0.8313881041673259
450,240,1550,0.7412019108611265,2.8469820464591418E13,0.7693965884958293
450,259.99999999999994,1550,0.5252145398325297,3.852570333520163E13,0.6619312129409566
