% h_np (nm),h_extrude (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
749.9999999999999,140,0.4613163984339084,4.05376791452961E13,0.6807651529426835
749.9999999999999,159.99999999999997,0.23658427001078455,6.463947716452988E13,0.41824475361552405
749.9999999999999,180,0.052328650829030834,4.011462637811433E13,0.5938392882111272
749.9999999999999,200,0.13958086612471127,2.9644652333249895E13,0.666494789082293
749.9999999999999,219.99999999999997,0.20617815788108718,2.8240287775201797E13,0.6505255015651061
749.9999999999999,240,0.21219074134193192,3.476101505283192E13,0.5307265135226716
749.9999999999999,259.99999999999994,0.13452722605344258,3.87991704693917E13,0.43256250593911794
749.9999999999999,280,0.04989414557752377,3.2808199817012586E13,0.48327093108253605
749.9999999999999,300,0.02409588247788131,2.5734605379428395E13,0.5657285599346384
749.9999999999999,319.99999999999994,0.02143265412427348,2.236369157471904E13,0.5974534674245314
749.9999999999999,340,0.016776999356069494,2.250182729715389E13,0.5696524624259556
749.9999999999999,360,0.01231867505810356,2.7078260925222355E13,0.45166525504503396
749.9999999999999,379.99999999999994,0.12095228168387294,3.4653568863509734E13,0.2592798624584294
749.9999999999999,400,0.07748044782821224,3.29931157761609E13,0.2576550062098861
800,19.999999999999996,0.6707930844000515,6.7840939368058164E13,0.9185908979153959
800,39.99999999999999,0.494280023299962,4.434030140586066E13,0.8935824365548011
800,60,0.4187321962397222,3.2422402126256992E13,0.8832793553011362
800,79.99999999999999,0.3936831984694282,2.6559097367255492E13,0.8725120934893811
800,100,0.4006807145235921,2.4655087118901926E13,0.8520693136417317
800,120,0.4169660150976351,2.752294451419849E13,0.8018343032099249
800,140,0.44521049300198845,3.809050693235747E13,0.6800396597585274
800,159.99999999999997,0.20096892937022384,6.085933668467027E13,0.41575056528028165
800,180,0.1110781210163163,3.456741224745693E13,0.6266692179195609
800,200,0.2333214547504753,2.9694487333043414E13,0.6436651893140334
800,219.99999999999997,0.2773862384588015,3.5659927949254164E13,0.5292889796987974
800,240,0.1875374442363896,4.18134683654548E13,0.3978864255044945
800,259.99999999999994,0.05858907477682063,3.528604767089046E13,0.44953772869305636
800,280,0.018421536679938812,2.68180084197384E13,0.5494575808979221
800,300,0.01865714505178649,2.26186343569314E13,0.5928643599482981
800,319.99999999999994,0.021211476754177606,2.1766664960389723E13,0.5820797078886478
800,340,0.015206590761631684,2.375629988816172E13,0.5153715121255584
800,360,0.020079313515280382,3.0009447974664125E13,0.35179584897931515
800,379.99999999999994,0.11371135650939214,3.5311586779713195E13,0.194896171126113
800,400,0.07491758581618249,2.8663787013423906E13,0.31206912511595397
849.9999999999999,19.999999999999996,0.6681869554506972,6.720803539872548E13,0.9143084810098712
849.9999999999999,39.99999999999999,0.4903073016322354,4.4566876119281414E13,0.8863546355592637
849.9999999999999,60,0.4187139028669186,3.2880553245437297E13,0.8742314286488182
849.9999999999999,79.99999999999999,0.4028510679794451,2.8343529489573258E13,0.855447465064983
849.9999999999999,100,0.35056647224121107,3.5113478364478156E13,0.7761523298472814
849.9999999999999,120,0.4024135274279338,2.8098082379176195E13,0.7850497083924537
849.9999999999999,140,0.43925225349187574,3.627474270760399E13,0.6762480047357371
849.9999999999999,159.99999999999997,0.19273160825771965,5.7211220356805836E13,0.41644693176163167
849.9999999999999,180,0.18307351376148145,3.2426030436457504E13,0.6279113576493729
849.9999999999999,200,0.3169501336943916,3.2493170682056945E13,0.5857120190616962
849.9999999999999,219.99999999999997,0.29399097099845606,4.086214299066459E13,0.4269088744843552
849.9999999999999,240,0.12028054542967213,3.9296945424198195E13,0.39875743463602925
849.9999999999999,259.99999999999994,0.024412061793423222,3.0092917394106797E13,0.5012099230768369
849.9999999999999,280,0.012256795216289855,2.449901102852719E13,0.5626932292373201
849.9999999999999,300,0.018892550602388408,2.2720228867515938E13,0.5654752569213121
849.9999999999999,319.99999999999994,0.021375757770187607,2.3468553237479754E13,0.5212415493189008
849.9999999999999,340,0.012896441926018052,2.666948640614873E13,0.4219376809604779
849.9999999999999,360,0.023190365980254063,3.3288699880741234E13,0.2360242991822526
849.9999999999999,379.99999999999994,0.07999942955899267,3.7343119509884E13,0.09536282788522576
849.9999999999999,400,0.11301675855865329,2.3097127467109082E13,0.4110231835812389
900,19.999999999999996,0.6690687406092867,6.6123385184063805E13,0.91073255137217
900,39.99999999999999,0.491623610525839,4.493814467877297E13,0.8786669365509656
900,60,0.42565268984572785,3.4287452740488992E13,0.8611358522395047
900,79.99999999999999,0.4117106854083439,3.8450706681739305E13,0.7923644696789929
900,100,0.32602982655303386,3.4417587321866445E13,0.7676824229896435
900,120,0.39463949037019674,2.8248502031963875E13,0.7711850437525615
900,140,0.43835628285314177,3.5076406667653434E13,0.6685281726952247
900,159.99999999999997,0.1966685402928454,5.424229108108802E13,0.4141859134337944
900,180,0.2474627925092469,3.1985608613469156E13,0.6113737642436703
900,200,0.371444540139685,3.521958653492193E13,0.5245345417353574
900,219.99999999999997,0.26342906578855657,4.105139785412788E13,0.3903870542331591
900,240,0.07578915466619565,3.4890133517431297E13,0.4347799415923166
900,259.99999999999994,0.012025813851794976,2.7506306907158195E13,0.5172643151834915
900,280,0.009853082897678283,2.4354159218141695E13,0.5397072315079121
