h_np (nm),h_extrude (nm),lambda0 (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
250,319.99999999999994,1550,0.7985709960265781,3.261883445421717E13,0.804287752182405
250,340,1550,0.7886361086241052,3.2239357134833445E13,0.7944741444304515
250,360,1550,0.7647256516878161,3.401188831449437E13,0.7704202249524942
250,379.99999999999994,1550,0.7186818631135974,3.892089576898401E13,0.7226887929341325
250,400,0,0,0,0
300,19.999999999999996,1550,0.8720546155356089,2.5909581828768597E14,0.8834053595596288
300,39.99999999999999,1550,0.840874252304022,1.7149340406406912E14,0.845654989691777
300,60,1550,0.7936019295574299,1.477314764105822E14,0.8005624818825905
300,79.99999999999999,1550,0.7440653513337928,1.3614009375483869E14,0.7549477588307495
300,100,1550,0.6877457473132856,1.3195864233283425E14,0.7030930724106372
300,120,1550,0.690172018813587,1.1043120580398466E14,0.7018357929073467
300,140,1550,0.7000682427768431,9.270419461687488E13,0.7079853995756462
300,159.99999999999997,1550,0.6907757218734519,8.353586135020178E13,0.6992697277132351
300,180,1550,0.6682980444020649,7.899908446407208E13,0.680052921238873
300,200,1550,0.6449741788068611,7.547530623095103E13,0.6603612276986406
300,219.99999999999997,1550,0.6466634877293176,6.8138869013575195E13,0.6627115965660109
300,240,1550,0.6674245430479407,5.901842437726657E13,0.6813014797108328
300,259.99999999999994,1550,0.6861217826941686,5.168124158371896E13,0.6976637210484609
300,280,1550,0.696607961985939,4.656838307782357E13,0.7066189314416493
300,300,1550,0.6990626338762758,4.320225983292947E13,0.7083847721469051
300,319.99999999999994,1550,0.692298784397092,4.146494165683174E13,0.7014521307171564
300,340,1550,0.6803595956725644,4.0572422275906625E13,0.6896209513968306
300,360,1550,0.652021796272231,4.1890194599791016E13,0.6606895197397163
300,379.99999999999994,1550,0.5803175574564114,4.848296168754292E13,0.585471435176072
300,400,0,0,0,0
350,19.999999999999996,1550,0.8146351675284069,3.161956702364186E14,0.8339968174568007
350,39.99999999999999,1550,0.7591743239847172,2.2056320109433325E14,0.7684080735376578
350,60,1550,0.6862748731039663,1.905146339813378E14,0.6999393918665217
350,79.99999999999999,1550,0.6179790731903312,1.7202790081946616E14,0.6387416656190383
350,100,1550,0.5457604507498444,1.6173071120199728E14,0.5754568364448649
350,120,1550,0.5667959804602025,1.310176938434651E14,0.5872942818737372
350,140,1550,0.5777988639515743,1.1091441370788072E14,0.5923895748404555
350,159.99999999999997,1550,0.5583684041873367,1.0102002141969602E14,0.5757163959145667
350,180,1550,0.5240120045427378,9.5415481625372E13,0.549162502473712
350,200,1550,0.5001874606160638,8.908442739435083E13,0.5323067065493409
350,219.99999999999997,1550,0.5164539076264683,7.835300394720223E13,0.5475116290068696
350,240,1550,0.5469379143600455,6.7722040834323305E13,0.5733498520017113
350,259.99999999999994,1550,0.572238896015054,5.9607281518279445E13,0.5931806433345246
350,280,1550,0.5816317761538772,5.43728286166835E13,0.6003596795662599
350,300,1550,0.5833986644005608,5.061536250953929E13,0.6014035870259192
350,319.99999999999994,1550,0.5706881669487261,4.88838830603054E13,0.5893750163003391
350,340,1550,0.5506285956685667,4.822821545435744E13,0.5695630980662412
350,360,1550,0.5123469864578009,4.965796669904747E13,0.5307323199274235
