h_np (nm),h_extrude (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
700,400,0.06125831368231205,1.9556529627048688E13,0.2473782493787222
749.9999999999999,19.999999999999996,0.6005591850784288,4.036328307893227E13,0.9108398569330323
749.9999999999999,39.99999999999999,0.3695765175637105,2.810469916904885E13,0.8758367651600414
749.9999999999999,60,0.2259609320918966,2.520653045427213E13,0.8329614576542542
749.9999999999999,79.99999999999999,0.11237074489603412,2.8811614756503723E13,0.7454289317430539
749.9999999999999,100,0.05002106518229182,3.7919363174194555E13,0.5811941099223228
749.9999999999999,120,0.1329581754608698,4.412997858811371E13,0.4151201302667532
749.9999999999999,140,0.2606321454831963,4.316740130249112E13,0.3325235968638952
749.9999999999999,159.99999999999997,0.08770187182559151,4.947636953977294E13,0.1256815119424237
749.9999999999999,180,0.1049535473683938,3.996122042996997E13,0.20555665812444474
749.9999999999999,200,0.2979151103036755,2.6593868215264645E13,0.4125598471603481
749.9999999999999,219.99999999999997,0.2533749917662894,2.6331512005664176E13,0.3601919046875002
749.9999999999999,240,0.13784844227284448,2.522583011275499E13,0.33133688055323973
749.9999999999999,259.99999999999994,0.0760912536372988,2.0494267159805137E13,0.41148518242376586
749.9999999999999,280,0.07725694513624329,1.626638553086981E13,0.4969619446718436
749.9999999999999,300,0.08053766131323564,1.4054377465776912E13,0.5343228107678085
749.9999999999999,319.99999999999994,0.07808827000365712,1.3147738069286098E13,0.5353216478840795
749.9999999999999,340,0.06026302609085429,1.402359449833382E13,0.47338842509838946
749.9999999999999,360,0.07139065396612089,1.7502271869683332E13,0.30409593379651445
749.9999999999999,379.99999999999994,0.12365841318645847,1.779463133871281E13,0.2531649190964289
749.9999999999999,400,0.008088962442521669,1.8631840165862566E13,0.1768715662295546
800,19.999999999999996,0.5729695683356568,3.9056533491118016E13,0.9018402114826944
800,39.99999999999999,0.31240018500911454,2.8467869423705156E13,0.856905325201545
800,60,0.14405052692976847,2.7874214912741832E13,0.7898339902361067
800,79.99999999999999,0.04083073039178859,3.51115791208638E13,0.6470217264390025
800,100,0.1322748593118985,4.1784204505297016E13,0.4749252233292881
800,120,0.3610466123072249,3.636328790969059E13,0.45165533586247136
800,140,0.40440997252308575,3.3310930964302457E13,0.4139638099501646
800,159.99999999999997,0.08278227683594497,4.1196758246421266E13,0.17169148042722698
800,180,0.2107853559805018,3.254040516662273E13,0.2639540124078483
800,200,0.2615070416233864,2.692966420252395E13,0.32318471644491176
800,219.99999999999997,0.114329173374377,2.5321929858859242E13,0.29995118631827744
800,240,0.04256979997363371,1.987893134263587E13,0.40046566722129495
800,259.99999999999994,0.05102618984355741,1.5491815358171041E13,0.49384362684177624
800,280,0.0649979089515697,1.3685005775975295E13,0.5184821233904131
800,300,0.07004464743475627,1.3364855282324816E13,0.496157449291609
800,319.99999999999994,0.06410118946276852,1.3949603997713904E13,0.4390537052769121
800,340,0.039761131743324386,1.562457200578322E13,0.33243081050615464
800,360,0.03221891869197987,1.8414767623413363E13,0.16693688624391645
