x_np (nm),y_np (nm),z_np (nm),freq (Hz),T (1),A (1),R (1),R+T+A (1),Domain Probe 1 (W),Effective mode index (1)
400,419.9994,19.999,1.9341448903225806E14,0.8427835118538397,0.14823693163646645,0.008979556509693839,1,0.14823702392203034,2.4733420503040042+1.1426701600359464E-11i
400,419.9994,109.999,1.9341448903225806E14,0.6773567326915876,0.3144319704977202,0.008211296810692196,1,0.31443201648012453,2.4733419594332027+1.718526253971613E-11i
400,419.9994,200,1.9341448903225806E14,0.7198698533778715,0.2784765400677969,0.001653606554331711,1,0.278476478827466,2.473341959487214+7.537360323241733E-11i
400,480,19.999,1.9341448903225806E14,0.8253355294760761,0.16497079752307142,0.009693673000852464,1,0.16497097851271242,2.473341641208055-1.7049611155068414E-10i
400,480,109.999,1.9341448903225806E14,0.6805331547528066,0.31111378011054347,0.008353065136649927,1,0.3111137479081347,2.473341810276706+1.465554943836653E-10i
400,480,200,1.9341448903225806E14,0.7117718013356525,0.2865816054273922,0.0016465932369552443,1,0.2865813782053379,2.47334181022074+5.774041117666415E-11i
400,540,19.999,1.9341448903225806E14,0.8121784462531905,0.17814088624317925,0.009680667503630296,1,0.17814164905275467,2.473341124607548+3.066157468964871E-11i
400,540,109.999,1.9341448903225806E14,0.6795514403834128,0.313376821789891,0.007071737826696193,1,0.3133771588784496,2.473340705895699+1.9405620804320477E-11i
400,540,200,1.9341448903225806E14,0.7066360056183829,0.2918166676990561,0.0015473266825610037,1,0.29181706373274385,2.473340705849809+6.520559783324605E-11i
400,600,19.999,1.9341448903225806E14,0.8021628237237841,0.18843677665691438,0.009400399619301454,1,0.1884375817992127,2.4733143962977033+1.0561752496127934E-10i
400,600,109.999,1.9341448903225806E14,0.6715134313255112,0.3222821492765079,0.006204419397980903,1,0.32228216865817266,2.4733409014124095-1.5450312407239254E-11i
400,600,200,1.9341448903225806E14,0.699446211280705,0.2991024131275647,0.0014513755917302256,1,0.2991017051402858,2.4733409014540793+9.605934388435551E-11i
450,300,19.999,1.9341448903225806E14,0.8600882386221458,0.13352039086434986,0.006391370513504383,1,0.13352041185227406,2.4733414164692444+4.9752578367563435E-11i
450,300,109.999,1.9341448903225806E14,0.6988331481123272,0.2956266527478453,0.005540199139827473,1,0.2956266159378319,2.473341194551247-1.2186204964723628E-11i
