x_np (nm),y_np (nm),z_np (nm),freq (Hz),T (1),A (1),R (1),R+T+A (1),Domain Probe 1 (W),Effective mode index (1)
350,419.99999999999994,19.999999999999996,1.9341448903225806E14,0.994843524767331,0.004077266929506718,0.0010792083031623376,1,0.004077025394301031,2.4733407512802112+7.63450714043575E-12i
350,419.99999999999994,109.99999999999999,1.9341448903225806E14,0.9733626643682056,0.019765974585786772,0.006871361046007606,1,0.019766177454805346,2.4733407513298746-1.7793512495986474E-11i
350,419.99999999999994,200,1.9341448903225806E14,0.9465124497512778,0.04494189040948893,0.008545659839233326,1,0.044941840529648835,2.473340751296767+4.3794098558021856E-11i
350,480,19.999999999999996,1.9341448903225806E14,0.994848432885271,0.0042578648529950636,8.937022617338897E-4,1,0.004257897763386517,2.4733409808232207-4.4910184319574386E-11i
350,480,109.99999999999999,1.9341448903225806E14,0.9695034945334332,0.02249152243454866,0.008004983032018178,1,0.022491176560218894,2.473341222872783+4.5637610977874186E-11i
350,480,200,1.9341448903225806E14,0.9337244917067581,0.054002108590026965,0.012273399703214938,1,0.054002298551824944,2.4733412227821465+2.814459945514241E-11i
350,540,19.999999999999996,1.9341448903225806E14,0.994532459524372,0.004584752465975117,8.827880096529273E-4,1,0.00458485151768648,2.473340776409312+3.551396131530523E-11i
350,540,109.99999999999999,1.9341448903225806E14,0.9594399280896058,0.03179803462621378,0.008762037284180405,1,0.03179820409605118,2.4733716817214257-6.0411602799766855E-12i
350,540,200,1.9341448903225806E14,0.9245221938027619,0.06124200587308681,0.014235800324151228,1,0.06124123007073416,2.4733716818004154-1.3555419427910906E-11i
350,600,19.999999999999996,1.9341448903225806E14,0.9941443483296846,0.004896614530035981,9.590371402793983E-4,1,0.004896775186021382,2.4733420157195543-1.8653584964421153E-10i
350,600,109.99999999999999,1.9341448903225806E14,0.9638439682804353,0.028027256471311213,0.00812877524825354,1,0.028027549281468524,2.473342020424276+1.506491748879522E-10i
350,600,200,1.9341448903225806E14,0.9152475183877484,0.0697807322736882,0.014971749338563416,1,0.06978085616171077,2.4733420205122965-7.35463433742326E-11i
400,300,19.999999999999996,1.9341448903225806E14,0.9959911713298506,0.003423331574407107,5.854970957423084E-4,1,0.0034232139167781513,2.4733411003623553+3.661679246586439E-12i
400,300,109.99999999999999,1.9341448903225806E14,0.975582633161721,0.019293785356764626,0.005123581481514422,1,0.01929366450946698,2.4733411003987547+3.367630377432414E-11i
400,300,200,1.9341448903225806E14,0.8985889628573028,0.09106834970364008,0.010342687439057136,1,0.09106805518616741,2.4733411003838883+6.77218414904461E-11i
400,360,19.999999999999996,1.9341448903225806E14,0.995047639015911,0.004225399186184031,7.269617979050202E-4,1,0.004225435648321713,2.4733414103847577+2.7507216488631074E-11i
400,360,109.99999999999999,1.9341448903225806E14,0.9619210775518099,0.02884137966125333,0.009237542786936736,1,0.028842075033544273,2.473340995338737+1.7580484900121534E-10i
400,360,200,1.9341448903225806E14,0.8992254867759731,0.08161822200253943,0.019156291221487456,1,0.08161880232816952,2.4733409952769243-6.293039482366945E-12i
400,419.99999999999994,19.999999999999996,1.9341448903225806E14,0.9940691508887839,0.004976728456960955,9.541206542551929E-4,1,0.004976781556041903,2.473342050304002+1.142739927785768E-11i
400,419.99999999999994,109.99999999999999,1.9341448903225806E14,0.9475595876875155,0.038356501520571906,0.014083910791912655,1,0.03835609127215078,2.473341959433201+1.7185680764206734E-11i
400,419.99999999999994,200,1.9341448903225806E14,0.8399904725352888,0.1221132462755844,0.03789628118912685,1,0.12211328931038444,2.4733419594872204+7.537402108401364E-11i
